price,make_model,body_type,vat,km,type,fuel,gears,extras,age,previous_owners,hp_kw,inspection_new,paint_type,upholstery_type,gearing_type,displacement_cc,weight_kg,drive_chain,cons_comb,comfort_package,entertainment_media_package,safety_security_package
15770,Audi A1,Sedans,VAT deductible,56013.0,Used,Diesel,7.0,"Alloy wheels,Catalytic Converter,Voice Control",3.0,2.0,66.0,1,Metallic,Cloth,Automatic,1422.0,1220.0,front,3.8,Premium,Premium Media,Safety Standard Package
14500,Audi A1,Sedans,Price negotiable,80000.0,Used,Benzine,7.0,"Alloy wheels,Sport seats,Sport suspension,Voice Control",2.0,1.0,141.0,0,Metallic,Cloth,Automatic,1798.0,1255.0,front,5.6,Standard,Premium Media,Safety Standard Package
14640,Audi A1,Sedans,VAT deductible,83450.0,Used,Diesel,7.0,"Alloy wheels,Voice Control",3.0,1.0,85.0,0,Metallic,Cloth,Automatic,1598.0,1135.0,front,3.8,Premium,Standard Media,Safety Standard Package
14500,Audi A1,Sedans,VAT deductible,73000.0,Used,Diesel,6.0,"Alloy wheels,Sport seats,Voice Control",3.0,1.0,66.0,0,Metallic,Cloth,Automatic,1422.0,1195.0,front,3.8,Standard,Premium Media,Safety Standard Package
16790,Audi A1,Sedans,VAT deductible,16200.0,Used,Diesel,7.0,"Alloy wheels,Sport package,Sport suspension,Voice Control",3.0,1.0,66.0,1,Metallic,Cloth,Automatic,1422.0,1135.0,front,4.1,Premium,Premium Media,Safety Standard Package
15090,Audi A1,Sedans,VAT deductible,63668.0,Used,Diesel,7.0,"Alloy wheels,Sport package,Sport seats,Sport suspension",3.0,1.0,85.0,0,Metallic,Part/Full Leather,Automatic,1598.0,1135.0,front,3.5,Premium,Premium Media,Safety Standard Package
16422,Audi A1,Station wagon,VAT deductible,62111.0,Used,Diesel,7.0,"Alloy wheels,Sport package,Sport seats,Sport suspension",3.0,1.0,85.0,1,Metallic,Part/Full Leather,Automatic,1598.0,1195.0,front,3.7,Standard,Premium Media,Safety Standard Package
14480,Audi A1,Compact,VAT deductible,14986.0,Used,Diesel,7.0,Alloy wheels,3.0,1.0,66.0,1,Metallic,Cloth,Automatic,1422.0,1180.0,front,3.7,Standard,Standard Media,Safety Standard Package
16700,Audi A1,Sedans,VAT deductible,57000.0,Used,Diesel,7.0,Alloy wheels,3.0,1.0,85.0,0,Metallic,Cloth,Automatic,1598.0,1275.0,front,3.7,Standard,Standard Media,Safety Standard Package
17990,Audi A1,Sedans,VAT deductible,16103.0,Used,Benzine,7.0,Alloy wheels,2.0,1.0,70.0,0,Metallic,Cloth,Automatic,999.0,1135.0,front,4.2,Standard,Standard Media,Safety Standard Package
18500,Audi A1,Sedans,VAT deductible,11300.0,Used,Diesel,7.0,"Alloy wheels,Shift paddles",1.0,1.0,85.0,0,Metallic,Cloth,Automatic,1598.0,1250.0,front,4.0,Standard,Premium Media,Safety Standard Package
17990,Audi A1,Sedans,VAT deductible,26415.0,Used,Benzine,7.0,"Alloy wheels,Sport seats",3.0,1.0,92.0,1,Uni/basic,Cloth,Automatic,1395.0,1135.0,front,4.9,Premium,Premium Media,Safety Standard Package
18380,Audi A1,Sedans,VAT deductible,31600.0,Used,Benzine,7.0,"Alloy wheels,Catalytic Converter,Sport package,Sport seats,Sport suspension,Voice Control",3.0,1.0,92.0,0,Metallic,Part/Full Leather,Automatic,1395.0,1135.0,front,4.9,Premium,Premium Media,Safety Standard Package
18399,Audi A1,Sedans,VAT deductible,45764.0,Used,Benzine,7.0,"Alloy wheels,Sport seats,Sport suspension",3.0,1.0,112.0,0,Metallic,Part/Full Leather,Automatic,1395.0,1135.0,front,4.2,Standard,Standard Media,Safety Standard Package
17990,Audi A1,Sedans,VAT deductible,34914.0,Used,Benzine,7.0,"Alloy wheels,Sport seats,Sport suspension",3.0,1.0,70.0,0,Metallic,Cloth,Automatic,999.0,1135.0,front,4.2,Premium,Premium Media,Safety Standard Package
18700,Audi A1,Sedans,VAT deductible,27000.0,Employee's car,Diesel,7.0,Alloy wheels,3.0,1.0,85.0,0,Metallic,Cloth,Automatic,1598.0,1275.0,front,3.7,Standard,Premium Media,Safety Standard Package
18900,Audi A1,Sedans,VAT deductible,9752.0,Used,Diesel,5.0,"Alloy wheels,Sport package,Sport seats",1.0,1.0,85.0,0,Metallic,Cloth,Automatic,1598.0,1175.0,front,3.5,Standard,Standard Media,Safety Standard Package
18500,Audi A1,Sedans,VAT deductible,28408.0,Used,Diesel,7.0,"Alloy wheels,Sport package",2.0,1.0,66.0,0,Metallic,Cloth,Automatic,1422.0,1220.0,front,3.8,Standard,Premium Media,Safety Standard Package
18400,Audi A1,Compact,VAT deductible,50280.0,Used,Benzine,7.0,Alloy wheels,3.0,1.0,70.0,0,Metallic,Cloth,Automatic,999.0,1065.0,front,4.5,Standard,Premium Media,Safety Standard Package
